theme,theme_libelle,etoiles_defaut,critere_colonne,critere_libelle,fichier_source,sens,poids,transform,imputation,note
cadre_urbain,Cadre urbain & logement,3,part_logts_vacants,Part de logements vacants,cadre_urbain_communes_candidates.csv,inverser,4,winsor_p95,mediane,INSEE RP 2023 ; proxy vitalite du tissu
cadre_urbain,Cadre urbain & logement,3,part_passoires_pct,Part de passoires thermiques (DPE F-G),dpe_communes_candidates.csv,inverser,4,winsor_p95,mediane,ADEME DPE (echantillon transactions)
environnement,Environnement & risques,3,air_no2_ugm3,Qualite de l'air : NO2,air_stations_communes_candidates.csv,inverser,3,aucune,mediane,concentration annuelle a la station de fond la plus proche (~8 km med) ; indicateur directionnel
environnement,Environnement & risques,3,artif_pct_2009_2024,Rythme d'artificialisation des sols,environnement_communes_candidates.csv,inverser,3,winsor_p95,mediane,CEREMA 2009-2024
environnement,Environnement & risques,3,imper_pct_2021,Impermeabilisation des sols,environnement_communes_candidates.csv,inverser,2,winsor_p95,mediane,CEREMA 2021 ; correle densite urbaine
environnement,Environnement & risques,3,catnat_inondation_depuis_2010_n,Inondations recentes,georisques_communes_candidates.csv,inverser,3,winsor_p95,0,arretes CatNat inondation depuis 2010
environnement,Environnement & risques,3,rga_pct_moyen_fort,Retrait-gonflement des argiles (exposition),rga_communes_candidates.csv,inverser,3,aucune,0,part surface communale en alea moyen+fort (DREAL/BRGM)
securite,Sécurité,2,cambriolages_taux,Taux de cambriolages,securite_communes_candidates.csv,inverser,5,winsor_p95,mediane,SSMSI moy. 2022-2024 ; ~45% des cellules estimees
securite,Sécurité,2,degradations_taux,Taux de degradations volontaires,securite_communes_candidates.csv,inverser,4,winsor_p95,mediane,SSMSI moy. 2022-2024
commerces,Commerces & services,2,commerces_essentiels_sur_place,Panier de commerces essentiels sur place,commerces_communes_candidates.csv,normal,4,aucune,0,"0-7 : boulangerie, boucherie, epicerie, pharmacie, poste, ecole, medecin"
commerces,Commerces & services,2,acces_supermarche_moy_min,Temps d'acces a un supermarche,commerces_communes_candidates.csv,inverser,4,winsor_p95,mediane,BPE 2025
commerces,Commerces & services,2,acces_boulangerie_moy_min,Temps d'acces a une boulangerie,commerces_communes_candidates.csv,inverser,2,winsor_p95,mediane,BPE 2025
commerces,Commerces & services,2,resto_pour_1000hab,Restaurants pour 1000 habitants,commerces_communes_candidates.csv,normal,2,winsor_p95,0,BPE stock 2024 (winsor : artefact zones commerciales)
sport_nature,Sport & nature,2,surf_ev_m2_par_hab,Espaces verts (m2 par habitant),sport_nature_communes_candidates.csv,normal,5,log,mediane,parcs/jardins/bois OSM x population
sport_nature,Sport & nature,2,clubs_pour_1000hab,Clubs sportifs pour 1000 habitants,sport_nature_communes_candidates.csv,normal,4,log,mediane,INJEP 2023
sport_nature,Sport & nature,2,acces_piscine_moy_min,Temps d'acces a une piscine,sport_nature_communes_candidates.csv,inverser,3,winsor_p95,mediane,BPE 2025
sport_nature,Sport & nature,2,acces_randonnee_moy_min,Temps d'acces a un sentier de randonnee,sport_nature_communes_candidates.csv,inverser,3,winsor_p95,mediane,BPE 2025
dynamique,Dynamique résidentielle,2,taux_var_pop_16_22_pct_an,Croissance de la population 2016-2022,dynamiques_communes_candidates.csv,normal,5,winsor_p5_p95,mediane,taux annuel moyen (Insee RP)
dynamique,Dynamique résidentielle,2,accel_pop_pts,Acceleration demographique,dynamiques_communes_candidates.csv,normal,3,winsor_p5_p95,mediane,var. 16-22 moins var. 11-16 (pts)
dynamique,Dynamique résidentielle,2,arrivants_actifs_pour_1000hab,Arrivee d'actifs (25-54 ans),dynamiques_communes_candidates.csv,normal,3,log,mediane,residaient dans une autre commune 1 an avant (IRAN)
dynamique,Dynamique résidentielle,2,indice_vieillissement_2022,Vieillissement de la population,dynamiques_communes_candidates.csv,inverser,3,winsor_p95,mediane,65+ pour 100 jeunes de -20 ans
cout_logement,Coût du logement,1,prix_maison_m2,Prix des maisons au m2,immobilier_communes_candidates.csv,inverser,5,winsor_p5_p95,mediane,DVF transactions reelles 2023-2025
cout_logement,Coût du logement,1,loyers_maison_m2,Loyers des maisons au m2,immobilier_communes_candidates.csv,inverser,3,winsor_p5_p95,mediane,Carte des loyers 2025 (annonce predite)
cout_logement,Coût du logement,1,loyers_appart_m2,Loyers des appartements au m2,immobilier_communes_candidates.csv,inverser,2,winsor_p5_p95,mediane,Carte des loyers 2025
cout_logement,Coût du logement,1,taux_taxe_fonciere_bati,Taux de taxe fonciere,fiscalite_communes_candidates.csv,inverser,3,winsor_p95,mediane,"DGFiP 2025, taux global sur le bati"
